source,title,link,date,matched_keywords
TechCrunch,"Telegram ban in India sparks a rush to VPNs, rival apps",https://techcrunch.com/2026/06/18/telegram-ban-in-india-sparks-a-rush-to-vpns-rival-apps/,2026-06-19,India
TechCrunch,Source: Elastic agrees to buy CRV-backed DeductiveAI for up to $85M,https://techcrunch.com/2026/06/18/source-elastic-agrees-to-buy-crv-backed-deductiveai-for-up-to-85m/,2026-06-19,AI
TechCrunch,AI inference startup Baseten reportedly raising $1.5B months after its last mega-round,https://techcrunch.com/2026/06/18/ai-inference-startup-baseten-reportedly-raising-1-5b-months-after-its-last-mega-round/,2026-06-19,AI
TechCrunch,"Snap spins off AI video team into new company, Dotmo, due to costs",https://techcrunch.com/2026/06/18/snap-spins-off-ai-video-team-into-new-company-dotmo-due-to-costs/,2026-06-19,AI
TechCrunch,OpenAI is bringing on some big guns in the lead-up to its IPO ,https://techcrunch.com/2026/06/18/openai-is-bringing-on-some-big-guns-in-the-lead-up-to-its-ipo/,2026-06-19,AI
TechCrunch,"The 11 standout startups from YC’s Demo Day, according to VCs",https://techcrunch.com/2026/06/18/the-11-standout-startups-from-ycs-demo-day-according-to-vcs/,2026-06-19,"AI, Valuation"
TechCrunch,Rivian owners file lawsuit alleging false promises on self-driving features,https://techcrunch.com/2026/06/18/rivian-owners-file-lawsuit-alleging-false-promises-on-self-driving-features/,2026-06-19,AI
TechCrunch,"Almost half of US singles feel negatively about AI in dating, Match says",https://techcrunch.com/2026/06/18/almost-half-of-u-s-singles-feel-negatively-about-ai-in-dating-match-says/,2026-06-19,AI
TechCrunch,Amazon hopes to challenge Nvidia more directly by selling its AI chips,https://techcrunch.com/2026/06/18/amazon-hopes-to-challenge-nvidia-more-directly-by-selling-its-ai-chips/,2026-06-19,AI
TechCrunch,AI data centers just got a government-mandated fast lane to the grid,https://techcrunch.com/2026/06/18/ai-data-centers-just-got-a-government-mandated-fast-lane-to-the-grid/,2026-06-19,AI
TechCrunch,"‘Queer Eye’ life coach Karamo Brown launches Kē, a wellness app featuring his AI digital clone",https://techcrunch.com/2026/06/18/queer-eyes-life-coach-karamo-brown-launches-ke-a-wellness-app-featuring-his-ai-digital-clone/,2026-06-19,AI
TechCrunch,"MapTap, a daily geography game, is my new Wordle",https://techcrunch.com/2026/06/18/maptap-a-daily-geography-game-is-my-new-wordle/,2026-06-19,AI
TechCrunch,General Intuition in talks to raise $300M at around $2B valuation,https://techcrunch.com/2026/06/18/general-intuition-in-talks-to-raise-300m-at-around-2b-valuation/,2026-06-19,"AI, Valuation"
