source,title,link,date,matched_keywords
TechCrunch,An Amazon warehouse worker died on the job at Oregon facility,https://techcrunch.com/2026/04/13/an-amazon-warehouse-worker-died-on-the-job-at-oregon-facility/,2026-04-14,AI
TechCrunch,OpenAI has bought AI personal finance startup Hiro,https://techcrunch.com/2026/04/13/openai-has-bought-ai-personal-finance-startup-hiro/,2026-04-14,"AI, Finance, Financial"
TechCrunch,Uber and Nuro begin testing premium robotaxi service in San Francisco,https://techcrunch.com/2026/04/13/uber-nuro-san-francisco-testing-premium-robotaxi-service/,2026-04-14,AI
TechCrunch,Stanford report highlights growing disconnect between AI insiders and everyone else,https://techcrunch.com/2026/04/13/stanford-report-highlights-growing-disconnect-between-ai-insiders-and-everyone-else/,2026-04-14,AI
TechCrunch,Booking.com confirms hackers accessed customers’ data,https://techcrunch.com/2026/04/13/booking-com-confirms-hackers-accessed-customers-data/,2026-04-14,AI
TechCrunch,Vercel CEO Guillermo Rauch signals IPO readiness as AI agents fuel revenue surge,https://techcrunch.com/2026/04/13/vercel-ceo-guillermo-rauch-signals-ipo-readiness-as-ai-agents-fuel-revenue-surge/,2026-04-14,AI
TechCrunch,Hack at Anodot leaves over a dozen breached companies facing extortion,https://techcrunch.com/2026/04/13/hack-at-anodot-leaves-over-a-dozen-breached-companies-facing-extortion/,2026-04-14,AI
TechCrunch,Slate Auto raises $650M to fund its affordable EV truck plans,https://techcrunch.com/2026/04/13/slate-auto-raises-650m-to-fund-its-affordable-ev-truck-plans/,2026-04-14,AI
TechCrunch,Trump officials may be encouraging banks to test Anthropic’s Mythos model,https://techcrunch.com/2026/04/12/trump-officials-may-be-encouraging-banks-to-test-anthropics-mythos-model/,2026-04-14,AI
TechCrunch,X says it’s reducing payments to clickbait accounts,https://techcrunch.com/2026/04/12/x-says-its-reducing-payments-to-clickbait-accounts/,2026-04-14,AI
TechCrunch,TechCrunch Mobility: Who is poaching all the self-driving vehicle talent?,https://techcrunch.com/2026/04/12/techcrunch-mobility-who-is-poaching-all-the-self-driving-vehicle-talent/,2026-04-14,AI
TechCrunch,"From LLMs to hallucinations, here’s a simple guide to common AI terms",https://techcrunch.com/2026/04/12/artificial-intelligence-definition-glossary-hallucinations-guide-to-common-ai-terms/,2026-04-14,AI
Google News (india),"Exclusive: Strait Open For India, US ""Miscalculated"", Iran's Envoy Tells NDTV - NDTV",https://news.google.com/rss/articles/CBMiyAFBVV95cUxQVFR4YjRoenBBcFNvRjY2cGJNNE1oRkZSWVVIYjBCbVowemgyTU16dHFIX0xnUUNfbEh0Tk5XdjVDXzhUVUx6aEY3QUJLMEJ6NmJOY2xBZ2ZzUUUzZFQ1UlVpNlFiNnZEWHpWRXdhNlpRUHJxMWN2dnY0WUxtNElNeUxjZUl3YWNrSnlnZWNUbkZ0aHBEMWR5dElDRmpmNzBZU1R3eF9YdFVUZEp2eFg2T0N0OW5WUDR5QUwweFdpcjdLY2lxMmgwN9IB0AFBVV95cUxOWE5JWktkbzllb1NKeml6aWxGSzdiXzVKdmZFb1pCdTlwV00xQ2NsbzFaTzBIaWdIZzNEZXFucUszQ2x1bEtIUUV3UmlhV1lMZUxiMTFYNUlOb1BSdFhGTlJmZEt0NWxINXFwc0FHY1E2OTRMa3FGYkZoTjVHaWFSRTZhU1NnVXFoVE9wcmRaMGpTQlM0Ry1iSDhiQXdsem1zb0FVVUdXODhTclVxZi1IZENXdjl6amI5aEFDT3R5QmVidXJiQzlxWHgxWGkzaGRT?oc=5,2026-04-14,"AI, ML, India"
Google News (india),Iran offers navigation support to India in Hormuz amid US blockade; rejects charging toll - The Times of India,https://news.google.com/rss/articles/CBMihAJBVV95cUxQRmR2bUNjal9SZEZCSnN3ZlczU2tNSEZfMndPS2Y2bG5hT2duSV9wOTJPVE5tTDMxenNkMlVDeVlhVjRzcTkxZ2RUdW5aTjBERU8tcVlzTEFhWXF3OVl1R2tkZ0NBUnBtenpOakV2WGdxdWF4Q05qclBqNGhKQWxQZUtEN0YxU2ZqUkR5cmprQndMVk1IS0FzNHEwZmUyTUZ4QlZTeVBhUzFUZmRCVXRPN3c3c0ZJWEw0alNSWW91cjlyMEdMYWtkRW9tUDNqRlBGazVIQXhaUU9tT3d0S3hZYmdSSHRqTVJSVXRaWkJKbHJZWmJiRUFYYUd0QVJTMWJtVFNHQtIBigJBVV95cUxOU1VZSENDNFNPYktJUG9xQWw3UFpNNi1nUmFXNU80c0ZvUmtXVEhKak9ydWpGbEt1Q3V1MWJVOEpoUFB0d2d0bGxPaE5ZY1dHQkozMEFmTnpxOHczV0QzdUNxdjhJbTZXUlhJcm9CWU9HQzQyQ19ndEF0aVZCckZPYWt2U2o0aUp0cnBJMVVaM1hObXlKREx1eTBCbDF5clhhYmVfLXhmeldJWHRISERram9pRmlDbUpMSGgtNUtfT09vTzYwNHhDTGE2RGZmQ254QlB2cUMwQjNHZ2FIa3AxZjJYa1BHVC1xNWN3X2JUZVVLR0d5bkN2Z0FlZHY4bnJMcVA3enZtd3N4Zw?oc=5,2026-04-14,"ML, India"
Google News (india),The War For Strait of Hormuz Just Reached Noida. Is Your Job Next? - NDTV,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOVVVSVXBzODAyMlJwZDNPbDQ5Rm1HempNcHZWQVdSQ09sWjRUYm8wQkdHQ1FzLVZnTFkyZEY1THVtVkZyUXFkeWN5Ym4yVWNtcnF1STlhZHEwY29iODlTXzNDaXNLaC11NTVLQ2d5TVpxVTNXTE9WeUNNQjlOYThyd0hxVlhSY0piempLME1wclljdjZnRlJFZVlhRjdxSVk2OHVRaEtuVEowTEx0R3JULVFIZnF0T3A1SUlSVDRvVUvSAcgBQVVfeXFMTjZhSGNaNDFwWXQ2a2VkVjdNenREd3lGbGgwOHd3ZXF6UnV4ZnJRc3lRZjNmYV9yUG1Wem9VLTNSRnhsWGZMdnU1bnJKSDRqM3RhTWo4U25zajNuaDBPMU5QODNrZVZXMERhTE56eXFwbF90aE1kVUhpdzdHblVjZmVuRUhaQnNEUkZtcWlLUTNzV0loMU9ETFJJV0dFNUd6V3huSTEyNW9WdGJfSVh0a3d1U2VoTkhEbkZhOVVHbHR0VUwyX2F2SGs?oc=5,2026-04-14,"AI, ML"
Google News (india),The secret of India’s most liveable megacity - The Economist,https://news.google.com/rss/articles/CBMijgFBVV95cUxOMEJOUUozTkdobHpBTlBmTmxqR3pWUXlOQ0ZiWUZEVm8yZFVKVDdhQ0RNZnJBTENyQnp1cmZFYkVqeGlfSzZzYlJJeXExbF9xLVgyNHpQUmd0eVFxb2lkejVKamNEQnYxM1dvVjE0dnZNMC1SU2dxVi1FN0s5cGhnX1VQbWtjYmpVckd2SGl3?oc=5,2026-04-14,India
Google News (india),PM Narendra Modi calls for support on India’s defining reform of 21st century to empower women - News On AIR,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPZlR6eW5sT0dkNEV1RGJjVlNjMThzYmxsb1R2bmYwNzNHQUotdmx0WUZTTnl5WHRXTXVBV3RfLXFERmV0eXZpNzdERmY1RzRhUy01THBhMDJRbllUek1HM245RFBsbTd2cHNHUHhZX3JvOHQ1OEdkeHh6VlB1WUdOaDRlTnFOY2hXenhhbEtNQlBpQWxtdm5wbWRsallRSjRNNGlhSExlcFB2N3FoNENQM0pJSVJicktzMHpWNjFpRHo?oc=5,2026-04-14,"AI, India"
Google News (india),"Parliament on verge of history, says PM Modi, as it readies to take up women's bills - The Times of India",https://news.google.com/rss/articles/CBMi4wFBVV95cUxPUklpMGhjQTlQUzZYd0tXbm9Yd0gyaE84UENzTHVUM3dzM3JrNkVWWlUtMkZzNHF1NGlqdXZOcVBuMHlxMm9rWmp5RDlmUWttQWI2MFBHSldLaGwxOW10Mi1oeVRISGFoMmxqblEzem5CVHU3cE01YlVTMlhDMHJ6TGswUktEY2pWQkF1c3FubVFOeGpZajFoSDdST1BBODdYekp3V25ab21UZ21haF8wRlpZUDNwaktHbFcxUUt4RTQxMm5KcG1COUQ1TzZkWnFIRHcwdU9teG9WZVpMYTZiRXRDUdIB6AFBVV95cUxOOUVwcWZ1WTZkdnZYdDhvaFViSVIxUWowanJuQlhpZnVfWFYybFJlVjg4NnFnNkxlNXQyQW14UVVTVGFNRVo4dXc2ak82Z1dDS2toVXNBdjFud3djbjlqdkZ5VmhXM2ZhTWdERGMzdmFucTNDQ2ljZnVzLVlVR3lGOUlTclBLS2pGbXBLMHp4Q0hreXhSa2p5Yk9TMmxtUjl3SU5BdTZpUkFtVDJnbUllZnB5VEJRN0phWDNNeWktaXRITjV3dUtzdnRwaS1NLXRiOEpVN2FKRzRKVXVDQm1ycFJQdHlMaEpB?oc=5,2026-04-14,"ML, India"
