source,title,link,date,matched_keywords
TechCrunch,Mercor says it was hit by cyberattack tied to compromise of open-source LiteLLM project,https://techcrunch.com/2026/03/31/mercor-says-it-was-hit-by-cyberattack-tied-to-compromise-of-open-source-litellm-project/,2026-04-01,AI
TechCrunch,"Salesforce announces an AI-heavy makeover for Slack, with 30 new features",https://techcrunch.com/2026/03/31/salesforce-announces-an-ai-heavy-makeover-for-slack-with-30-new-features/,2026-04-01,AI
TechCrunch,"OpenAI, not yet public, raises $3B from retail investors in monster $122B fund raise",https://techcrunch.com/2026/03/31/openai-not-yet-public-raises-3b-from-retail-investors-in-monster-122b-fund-raise/,2026-04-01,AI
TechCrunch,It’s not your imagination: AI seed startups are commanding higher valuations,https://techcrunch.com/2026/03/31/its-not-your-imagination-ai-seed-startups-are-commanding-higher-valuations/,2026-04-01,"AI, Valuation"
TechCrunch,Yupp shuts down after raising $33M from a16z crypto’s Chris Dixon,https://techcrunch.com/2026/03/31/yupp-ai-shuts-down-33m-a16z-crypto-chris-dixon/,2026-04-01,AI
TechCrunch,Meta was finally held accountable for harming teens. Now what?,https://techcrunch.com/2026/03/31/meta-was-finally-held-accountable-for-harming-teens-now-what/,2026-04-01,Congress
TechCrunch,Go play this secret game in your TikTok DMs,https://techcrunch.com/2026/03/31/go-play-this-secret-game-in-your-tiktok-dms/,2026-04-01,AI
TechCrunch,Alexa+ gets new food ordering experiences with Uber Eats and Grubhub,https://techcrunch.com/2026/03/31/alexa-plus-new-food-ordering-experiences-with-uber-eats-and-grubhub/,2026-04-01,AI
TechCrunch,Whoop’s valuation just tripled to $10 billion,https://techcrunch.com/2026/03/31/whoop-valuation-10b-series-g-fundraise/,2026-04-01,Valuation
TechCrunch,Uber and WeRide ramp up robotaxi operations in Dubai,https://techcrunch.com/2026/03/31/uber-weride-dubai-robotaxi-partnership-equity/,2026-04-01,AI
TechCrunch,FedEx chooses partnerships over proprietary tech for its automation strategy,https://techcrunch.com/2026/03/31/fedex-chooses-partnerships-over-proprietary-tech-for-its-automation-strategy/,2026-04-01,Automation
TechCrunch,Nomadic raises $8.4 million to wrangle the data pouring off autonomous vehicles,https://techcrunch.com/2026/03/31/nomadic-raises-8-4-million-to-wrangle-the-data-pouring-off-avs/,2026-04-01,AI
TechCrunch,Health data giant CareCloud says hackers accessed patients’ medical records,https://techcrunch.com/2026/03/31/carecloud-breach-hackers-accessed-patients-medical-records-ehr/,2026-04-01,AI
Google News (india),Census 2027: India begins counting a billion-plus people in mega exercise - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTFB3c0szMG5yRDFlRXpYMWNnVDNlY1BUYlgtYW83SzRLb0VoaUdhblIwODFDeVlvR2JPTjd4bkItQ0FwSWtfUGZPaU1pQVc3ektUZmEtTEZQUjZnUQ?oc=5,2026-04-01,India
Google News (india),World’s largest and first digitallly conducted India’s Census-2027 begins today - News On AIR,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPOTdFenRHZ1dfVXdaVDVwdEdkam5EdnQzYzN6d2k0Y0FaUDdVQ1hlVmRUdzlPdnNaOXZNYy1RX1FHMHZSTnBxOW1mR1ZneFlrV3V0ZGdFMzBDbDFCczBtdmxfS205TW14ODdWSG9wVmE3eW5BandzLUdiTHY5WTQ2V2RXU2NpMV9mUHFFVWlRQ1pnZ09tY1NpcEhOMHhxWkVhNWJ1dGQ0UGdEbEU?oc=5,2026-04-01,"AI, India"
Google News (india),"Census 2027 begins today: First digital headcount, 33 questions in Phase 1; 10 things to know - The Times of India",https://news.google.com/rss/articles/CBMi7wFBVV95cUxQNHNlVDFDa2ItT3RzMm5BQWpSNWlvdDNUZmRmUE1oalBMX2JQbDZWX3cyWGJ6ZklGR3RxNEtuZUVwRHNPc29WYnQtbTRsOGo2THNZUEZYVWh4WFpKc09BUWxSUU1ZNkhwM3R0aE9tdjJ2Qk5PWXlKVnJBY0szYzl0UmtIb1JTUDNDSTlJVzhMSzJybTJPWFNpckREdjlWWHgzSkhjUXZBem9WYm9iaHJseVZXNmROQmZiR0NRWVk2TVdMODBTTlhDWENnRjRXdHl3THNCckFKcTlCLVZ2OFFmWGxTZWhOaWtFaW5MaV90OA?oc=5,2026-04-01,India
