source,title,link,date,matched_keywords
TechCrunch,OpenAI reportedly completed a $7 billion employee tender offer,https://techcrunch.com/2026/08/10/openai-reportedly-completed-a-7-billion-employee-tender-offer/,2026-08-11,AI
TechCrunch,"As AI-led attacks multiply, OpenAI launches a new cyber model",https://techcrunch.com/2026/08/10/as-ai-led-attacks-multiply-openai-launches-a-new-cyber-model/,2026-08-11,AI
TechCrunch,Google co-founder Sergey Brin has now spent $100 million to fight the billionaire tax,https://techcrunch.com/2026/08/10/google-co-founder-sergey-brin-has-now-spent-100-million-to-fight-the-billionaire-tax/,2026-08-11,AI
TechCrunch,Mark Zuckerberg’s AI manifesto is exactly why people don’t like AI,https://techcrunch.com/2026/08/10/mark-zuckerbergs-ai-manifesto-is-exactly-why-people-dont-like-ai/,2026-08-11,AI
TechCrunch,Tech industry is buzzing after a Claude agent hacked into a gym,https://techcrunch.com/2026/08/10/tech-industry-is-buzzing-after-a-claude-agent-hacked-into-a-gym/,2026-08-11,AI
TechCrunch,Social media platforms still facing thousands of user addiction lawsuits after failed appeals,https://techcrunch.com/2026/08/10/social-media-platforms-still-facing-thousands-of-user-addiction-lawsuits-after-failed-appeals/,2026-08-11,AI
TechCrunch,Meta’s new Glimmer AI model offers a hint at Zuckerberg’s personal intelligence vision,https://techcrunch.com/2026/08/10/metas-new-glimmer-ai-model-offers-a-hint-at-zuckerbergs-personal-intelligence-vision/,2026-08-11,AI
TechCrunch,"A data breach at shipping giant Ceva Logistics is rippling across banks, retailers, Steam gamers, and beyond",https://techcrunch.com/2026/08/10/a-data-breach-at-shipping-giant-ceva-logistics-is-rippling-across-banks-retailers-steam-gamers-and-beyond/,2026-08-11,AI
TechCrunch,Signed up for Klaviyo? Dozens of advertisers may have seen your password,https://techcrunch.com/2026/08/10/signed-up-for-klaviyo-dozens-of-advertisers-may-have-seen-your-password/,2026-08-11,Automation
TechCrunch,Discovered Materials is playing AI whack-a-mole to hunt cooler chips,https://techcrunch.com/2026/08/10/discovered-materials-is-playing-ai-whack-a-mole-to-hunt-cooler-chips/,2026-08-11,AI
TechCrunch,Embattled hedge fund Situational Awareness invests $400M in chip startup Source Foundry,https://techcrunch.com/2026/08/09/embattled-hedge-fund-situational-awareness-invests-400m-in-chip-startup-source-foundry/,2026-08-11,AI
