source,title,link,date,matched_keywords
TechCrunch,Trump officials may be encouraging banks to test Anthropic’s Mythos model,https://techcrunch.com/2026/04/12/trump-officials-may-be-encouraging-banks-to-test-anthropics-mythos-model/,2026-04-13,AI
TechCrunch,X says it’s reducing payments to clickbait accounts,https://techcrunch.com/2026/04/12/x-says-its-reducing-payments-to-clickbait-accounts/,2026-04-13,AI
TechCrunch,TechCrunch Mobility: Who is poaching all the self-driving vehicle talent?,https://techcrunch.com/2026/04/12/techcrunch-mobility-who-is-poaching-all-the-self-driving-vehicle-talent/,2026-04-13,AI
TechCrunch,"From LLMs to hallucinations, here’s a simple guide to common AI terms",https://techcrunch.com/2026/04/12/artificial-intelligence-definition-glossary-hallucinations-guide-to-common-ai-terms/,2026-04-13,AI
TechCrunch,"At the HumanX conference, everyone was talking about Claude",https://techcrunch.com/2026/04/12/at-the-humanx-conference-everyone-was-talking-about-claude/,2026-04-13,AI
TechCrunch,Slate Auto: Everything you need to know about the Bezos-backed EV startup,https://techcrunch.com/2026/04/12/slate-auto-everything-you-need-to-know-about-the-bezos-backed-ev-startup/,2026-04-13,AI
TechCrunch,"Walmart-owned Flipkart, Amazon are squeezing India’s quick commerce startups",https://techcrunch.com/2026/04/11/walmart-owned-flipkart-amazon-are-squeezing-indias-quick-commerce-startups/,2026-04-13,"AI, India"
TechCrunch,Kalshi wins temporary pause in Arizona criminal case,https://techcrunch.com/2026/04/11/kalshi-wins-temporary-pause-in-arizona-criminal-case/,2026-04-13,AI
TechCrunch,Sam Altman responds to ‘incendiary’ New Yorker article after attack on his home,https://techcrunch.com/2026/04/11/sam-altman-responds-to-incendiary-new-yorker-article-after-attack-on-his-home/,2026-04-13,AI
TechCrunch,Nvidia-backed SiFive hits $3.65 billion valuation for open AI chips,https://techcrunch.com/2026/04/11/nvidia-backed-sifive-hits-3-65-billion-valuation-for-open-ai-chips/,2026-04-13,"AI, Valuation"
TechCrunch,Battery recycler Ascend Elements files for bankruptcy,https://techcrunch.com/2026/04/10/battery-recycler-ascend-elements-files-for-bankruptcy/,2026-04-13,AI
TechCrunch,"Stalking victim sues OpenAI, claims ChatGPT fueled her abuser’s delusions and ignored her warnings",https://techcrunch.com/2026/04/10/stalking-victim-sues-openai-claims-chatgpt-fueled-her-abusers-delusions-and-ignored-her-warnings/,2026-04-13,AI
TechCrunch,TechCrunch is heading to Tokyo — and bringing the Startup Battlefield with it,https://techcrunch.com/2026/04/10/techcrunch-is-heading-to-tokyo-and-bringing-the-startup-battlefield-with-it/,2026-04-13,AI
Google News (india),India proposes new rules to regulate news and political posts on social media - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE51RGtNb0xCUXNueGdvTnQweHBRZi1RdXBRZF9SV3V3REVWU0xic0Q0S3RwVUhXcGtxWWtZUEZTZ1ZvaG5WWkYyNE5HcWFxLWxyOXNBN0pzeEtfUQ?oc=5,2026-04-13,India
Google News (india),India and Pakistan: Neighbours Who Do Not Talk to Each Other - The India Forum,https://news.google.com/rss/articles/CBMimgFBVV95cUxNV1lQQjcyN2xHQ1FZa3lmalJGcXFIZUljcFY2dFdZOENnaE1nSkxGQWpXRVpQMjVzS0g3aElYLUk2VGpQY2d0RkRFNFVZZ1U3YjZoY1IwZXhjYktqdlNwVXkyVEFVWDFfT3hGRTlKVEpCU0w3S1NLX1NkaWVocG4tU3hoTDFsX18tcm8wdnhEa1NueU9HZFp1ZEpB?oc=5,2026-04-13,India
Google News (india),"""Delhi 2/10, Manali 9/10"": Russian Woman's Safety Scorecard Of Indian Cities Goes Viral - NDTV",https://news.google.com/rss/articles/CBMivAFBVV95cUxQeUFGaVFpUm1HaUpFaTdnUGhJTHV6azhjOEY5Q1NDNVZkSU9lUndHMHpmRlBQRm1rRl9mNEljR0NGVjdWWHRKWVZlcDd2YXYzdHZFMHJLak9Tc1JXMnJvdkpTanhjN21JWklNV2ltbWlfOGhrci0yd1VOS2lONExacGdFbURhb2FNdERELUtwLWpDWVo3bWl6UVhjdm16ZlBQRFVZN2IyS0xsRGR4dW0xVE9VT2hyN0M0SjFraNIBxAFBVV95cUxNb1lvamxrVm5sN2VNVTdnclBlSmZudEJuNTFaTGxjUGxPZ1d1cUVMdWExM2FFM2dBQmRBeHFFSy13YW5pckYtMzVTRlRlNGlzNldReklKRE1LaF9qVWlTZld2NnVkcG1UdklxX2RYUlZWOHhFbnBLRGdNbF94cmx4bXhjNjFCa3VGNkJRVGVtTkJZSVU3VThFYXY4Q0xmbkVtamJfMWFob19OeHhKdmo0dGZ3OEhodnVjZFhkN0JWbWtBS3NM?oc=5,2026-04-13,"India, Indian"
Google News (india),The secret of India’s most liveable megacity - The Economist,https://news.google.com/rss/articles/CBMijgFBVV95cUxOMEJOUUozTkdobHpBTlBmTmxqR3pWUXlOQ0ZiWUZEVm8yZFVKVDdhQ0RNZnJBTENyQnp1cmZFYkVqeGlfSzZzYlJJeXExbF9xLVgyNHpQUmd0eVFxb2lkejVKamNEQnYxM1dvVjE0dnZNMC1SU2dxVi1FN0s5cGhnX1VQbWtjYmpVckd2SGl3?oc=5,2026-04-13,India
Google News (india),"What China’s AI education manifesto means for the world, and for India - The Hindu",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQSU5fWXFxb3dCaEwzRkFXZVlVcmtEalpuSHFxNmQ3azF3enIxUmFTUXl5YVRxQWh2U3dzWTV2UGtZcFBCa2RnWUF1dFJ3S2dxa0pnejJyUjNWUHJyTkFZa2t4UDZFN2tTdDNqbWgwZWZHRnRxN3JGbUo2LUJQX1U3OFRrLXZFTk1hQzFVUXZiQTdqT3IwMm12bXdLWjVteDE2X29laDlWZHlkWFVrZVA4ZjBDWmR1TkR2WFNLdkEtT2XSAccBQVVfeXFMTUllYWR0cHFwWlVna3lyTVRwb1JmT3dnc0ZXdVVBbi12ZXFLOGdwYlVZYW9Ra2R1dkNaZHc1MnplOTNGZWMwQnJXYUNEOGpPblgtQTlXZjRaLThfUmtROFFJOEkyRzdzQzRVVFpzTzBpV1ZoZGlET3l1a01nUHhwd2ZqNEpGUDVMWUVKM1lFcmlZcEZob1pEZ1hNMWdpTFZyNnRFbFYyNHp0UndkNHg0cHItZHdqck1OMVVIYkM2U3NKeVBmdGVRZw?oc=5,2026-04-13,"AI, ML, India"
Google News (india),Two supertankers carrying Iranian crude anchor off India as Trump announces Hormuz blockade - The Times of India,https://news.google.com/rss/articles/CBMiiAJBVV95cUxNVERYUDhQenZiMTNGYU1kZVpjVklyNkZGVU1xS3F1dHRZTHo0NGxPMTJtcFl1U0Z0bDdmSkpaSExEc3Q1N2FmZEZGcE9DLTFqY01EMWpiY1E4THNKY190YTlmb015MjRWWUdaMThNejAzSFpGbXZHazRueEFZZlNmUkFNRXBOQXlNV1RuZ0NzejhYQkNEU29MVjk3em9mRVZ2eTNBRGlIUVdmak0yM2pac1AzNlpIb0p6WnphZU5pRXR1VjJGUmoycHdiUHN5VXY1RWNJaVNRQlFHOWFGNC1DdjMzZkF2V1dmMlBIcnFNcFJUdFdndC1Yb0ZERzl4NnhCanFOV2hPZ1jSAY4CQVVfeXFMT2NLb3daVmRWeFJYdXZoNkdJQjREN0lxT2RrbEFzbWYxNXJRdlN1U3AwYm1LUjdzRFNBRlNVYzkyQ1dfVnA1cTlhaWdQWl9PaUxDMWVpNkw1azM2Q3ppRjRxTGtDVWpnVXU3OExRdUttTzY3OEUxQmpFV2swQXFvNVplaXlYTjNNX2MzeHVZWG1DZVBfMXJEM012R2M2X1FvM09tRmRiT2x4bENqcHQzei1sX2ZaUDN5eTM3bVFSSWtucHRMZnBZYW1BRmNSNHB6aUtuNXJDQVo5am5paVhuamN2eWoxai1DSENJNkZTOUE1RzhpUXQ0NE83U0dycEdTRWVGV3pnMWRWTEJyRk9n?oc=5,2026-04-13,"AI, ML, India"
Google News (india),Ships With Iran Oil Anchor Off India as Trump Announces Blockade - Bloomberg.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxQVGhTZzdEWFVJdzRQYlptQWtEc3dKbXlXRklGOGdnOUg4T2RuX3l6UlVnMUR2ajlnWTZ0UllKUjlLbGY5U2E5NC1lanFmZ1hHZ3dNWjJDR3lMTDhLa3ZXTk5iZk1KVnlvVmJHUldCWXhxcndUNVhBeHVRT0V3VGJFUHlXcXFLVWF2YkZMZVZvMnUwM2VOMzNUYVBQSzA3ekpHYUtwVnh4UzE0NE1fQmtqNGRoVjRNdw?oc=5,2026-04-13,India
Google News (india),"India permits Iranian oil tankers to berth for Reliance, sources say - Reuters",https://news.google.com/rss/articles/CBMisgFBVV95cUxNU284VU93c3hzLXlWSTlUck9tWnhlVGNUODFyWHRIQ0xUakplWTBUbWhiYm5BVDFwSzVpN2VKdm4zMUxiSVFULXRMZXVuZXk3RUVnV0pQTHhWU2o1cUtEdWx5TUsycVFCNkFpNy1aM1BORFhBNkJTMTFzTUcyLVlLMklRMl9xZjZxVXI1ZlZIb2NrOEZvSG55T0ZuQ01mbWluZVJmM0RSQ3IwX1BscEc4REt3?oc=5,2026-04-13,"ML, India"
Google News (india),'Deep-rooted ties': Iran's late Supreme Leader Ayatollah Ali Khamenei's 'Chehlum' held in India: Govt offers 'solemn respects' - WION,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPeE1yal9wRTllYVhlR3JRZ21GNy15bktqTHNYejhQNF9WZWpNaDhBRThUM2NOUW55eVAtVl84ZThGLW03amhCS2k1WjNqdG1yaEZUVDRmQnE2U0Z4ZzliYkVYemhzbnA4Q2FtRUt4ZE1uOFlsQllMbFBnV1JmNUo3UDFCYlJWUUZ0SGpWbG9rR3FyNWljTXJFZk8xZUhuMENIenJJQ3VvcGh2Um9GdnlmVVZIZkRSQmF4OUtMNnpjcm90dlQ2OFFWdWJSYUlPMWNicXUxMXhTa09xR3dpdktaR3JIQTNQckpYRXdjNTJn?oc=5,2026-04-13,India
Google News (india),170 Muslim children from India’s Bihar taken off train in Katni over suspicion of trafficking - Asia News Network,https://news.google.com/rss/articles/CBMiugFBVV95cUxNU1BCN3VLNTVMNmNSb2dNc3VfQ3NLWXhvb1cwRUZHRkI5Z2x6UDZzQ2ZkQm9aZkVPTjllSEZEeVpFMjRJVzE2dFFkakd2M003QklxaXV5WDJoUmJkUFNubzMtYk1ZZURCZDFBTGZlUE0wcWFtOGd1NURWdmI0UndfcFFxQkRiUXlsRFVON0ZoY1h4V0hrNTVfdmlHZHJQQmw1T0JyU29VTHU5TGxBemdEVHpOTFpYX0hhV0E?oc=5,2026-04-13,"AI, ML, India"
Google News (india),India Forex Regulator Criticizes Banks’ Rupee Arbitrage Trades - Bloomberg.com,https://news.google.com/rss/articles/CBMisgFBVV95cUxOSDAyaFd4X245Y1ZpdnlDVEhDR1BPSThJOHRzaVVObGdVcHU2bGVyT0JLQ1BkT05YT05ES0RxT2s3djJJNThRWGZhcWQ3ak5nMDNwQVJBM2JCYWlqQVQxR195NklfeUtCYkJta2FjQVNkOUo2TXVzYjZRcFlJWUptaHMta1B2Z2NCWlhMWTU5TWx2aWs1d2p4bmxpblVuRjVXNFlnUWltVUczTU5PcG1va0hR?oc=5,2026-04-13,India
Google News (india),"Asha Bhosle, One of India’s Most Beloved Singers, Dies at 92 - The New York Times",https://news.google.com/rss/articles/CBMijgFBVV95cUxNdVdZVzhPbWRGbldDRkhXenMxLVVOY2U3cjltSktjWU9DWVV5cHRQZmNueE9aSHdWWUo1RnB0am1STDlkMlNpeXNOeDN6RjMydjdBOGtvMHFKaXNlREQ0YXY2YXprSXZkc05aS0g3SlNfeEsyV0pMeEZoaFZrc0IzZlFSM0c3eGpNZEktTWFB?oc=5,2026-04-13,"ML, India"
Google News (india),"Cabaret to global pop, Asha lived 'crossover' before it was buzzword - The Times of India",https://news.google.com/rss/articles/CBMi1wFBVV95cUxPQTN3bUE1WjNYUEkxam1jdHBSd0p3akJxT0pGMkVRb2ZGS0VUekxIQ1V1VXUwNUtDNGdKMGJ4OVFzbk9tMEZTbnVtTXNvbTcyMFhCMC1mazhlblhfVlkyeGF4VXZMUGRiei16aFFac0ZBcHFsWTR3M003a2xoUkRCQTVYUWZCQnNEczJIaGJuWlNiUXhuSlJBRFhPS2RnWnhhY3hiNVRXNFBZeTE1TElhT2dnUUdLRmcyVWlFZnA0TkRNYktjY3hmeS1fZGVMdnRVVk5sQlBaY9IB3AFBVV95cUxNeEd1TWw5SV9KaFVzRldNNnJDdG9rUGFESTZkMG9QcUdEeTFnRHFXSGtSeUpUSV93ZGVkRnc5d004Z044UkM3akU0cVR1czN0VzVfV01lZ3JlMWo1dFVmU2hTWjVKWTNKVTdPZkJkWDV3YmI4bnppQnNVd3FDandkd1p2dm1uWUk4dXhQcWNXSHotaUo2MnpfNjBLd1NLN2tac2dXRlNpRUN1N1VUdkJBQTFBUWpGRmNwdXlwZUlwV2ZJbXN4TmVGb29wLW5VbGQ4ZzFWLVdjMWRzZWRs?oc=5,2026-04-13,India
Google News (india),"Asha Bhosle, one of India's most versatile Bollywood singers, dies at 92 - NBC News",https://news.google.com/rss/articles/CBMiogFBVV95cUxORTRVYld6LTdWM2FRWkdhYV9iNVA1cWxiSWlMX1BCcmdKMGFTeThYVHNoXzl3Z0psMWZzd2VaM1dobXotZEprNXhrNTNRMWJ2QzBaX05fUVV4UUQxUVI5TEZDMHlKTHhGRGtrMFVYdGpVZ2JSTUdRT2pDRXNvanlzWXpnam52V3lPbFQzd0RMR2J4ajlaRngyOHV2eUhEN0daWmc?oc=5,2026-04-13,India
Google News (india),SIR in West Bengal: How exclusion of nine million voters could shape state politics - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1XTUR0bVVPX0U1ajR2Wm9GaDdzYVF0Vk8wZXd1UXh5bXhVSHR6UGhRWlkxZjJsVS1iUnJUSm5zM3NHc0V6ZlRCU0xtNVFWbVlBV1VYZFNGUV9IUQ?oc=5,2026-04-13,Politics
Google News (india),Andhra Pradesh To Launch India's First Quantum Testbeds Tomorrow - NDTV,https://news.google.com/rss/articles/CBMiswFBVV95cUxNd3VOZ0I0dXRVRmlxSEtPZ2taWTQxQTlzaW8tU3hTNUo4RTJTYVg3LTVjQnlnQ09tQk1yUDY4WXFmTlRoZ18zaXBhZEFESmFGVGR3N3NtMk1YbkIyTXdMclZMUFJpNF9nWFBIYy1mcGphX19GN0hIS1RndV9BVHU1aldsOFp2Wm1OWU9mVG9HWmdiYnhQc0tydnRXaXcwM0xkQm9EVktyQUt5WWdkUHI3MExsQdIBuwFBVV95cUxQeGtxRHY3U3hjb2hpbHdKVXVMZGt3UnZQd0dwejZhM3F2Z01lR1lZeDMzc1BQU0M3M0lDSmpTMlRURnRZdWVYalRQWW16QmJuMDFHR0pTSEdSWmI3UEF2QXdyV1UwaFZmel9SbXVVUXRXMWFtVFdnVTZVTHp1Q215VlRVRGtCSFhHaGJnUlJJYnZobmlabEE1OWkwMzAzckhHOENCUGNaV0FsUXAxX0xVYzBlS0FGX0tFTzZr?oc=5,2026-04-13,"ML, India"
Google News (india),India pulls back offer to host COP 2028. Why is it a wise choice | India News - Hindustan Times,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQdGFNamdpeVdTMFd6UXVSYXFsX2J4RHhhSDZyeE9xVS10bXB4R3kySTJHZGFsOURMUDVfdzNFSkhIc01hTWVqNUtaTXVGd3NRT3J4YnRvMGIyMjRlZzJYNUlNNUV6R1BJTHZpTVBrMUluRlNDQnpxWWdIREE2YVo0R3phTWIydUd2WFRvZlpZbHBmNXBpYS1pLVVzYUdBQ0R5bXVwYVdRR1pPdUQzUzNVb0duaGJtYmZkVHJ3Zng3dF_SAcYBQVVfeXFMTlpPdFZrb01RemROVHVKSkJRYTF0ZExiUHMySWlRaXEybTNSNUlxRVl1VkhmQ05RaEYzTUpxOHZsaXVxVmJLMHY2dWNNdzJGN2ZZeDBTNDRra09ia3czUHRMV1VVWDVIa1hfVExNRXRpYmFhNUdmV1REYVNncDdaclVVQkw5SjVqTmszbFZ4eXpSNTdYZlpqQzhQd0MwUVVoMW5BOTJ1MC1tbktrZ2dnSlVjb2J0Z1Z3XzNBcndydmJiaHlFa0xB?oc=5,2026-04-13,India
Google News (india),"Central and South India brace for 45°C, Delhi nears its first 40°C day of 2026 - India Today",https://news.google.com/rss/articles/CBMi3wFBVV95cUxOdFZuTDlINVZ5QktEdk9pNHVOcWxyQkwzMXNTLU9wZVRUcGljSHpIeTN2SnZuZ0FZWWxqZnYwemk3LTdWcWlhcE95YzZidlZlOFJFdXNwOEs0YkdSajUzV0RDUVlrQ1dUeWVoZDRxZkFhVk5NSFUwQ1FybVhjM1ZZMEVHM09PQ0FERC11QXd2cjNTQjQzd3NNZTd5blkxblFWcEF1bnlJb0g4QkZZSzlRRHZFa1d3UXhCSEFaZWZJR3lTX0dnMEpDZ0JQbjlXWF9LTXhPcFZuY1FGUW81VkJ30gHkAUFVX3lxTFBZb3BSbThwVTI4VEtQVE1wckpNVVZkSFQwaEtXZXAtTmQyS2x6V0JpREdCb2dTcG5XMXg4RXJUMEpLN2hWUzhZY09OVW5NN0pxMG5OM2dCN2VmOWkycjhFekN2NDhGcXlSNzhnV3FWdE9SQmVZazlvcHBua2ZJT2xrOG9CNmk4SEtmMHJ3eFBXUkh0cHZrdG5tYjdTTmN2WVNVaDZlTTViYjlCNXdNdFdURjYySmRmaWRzUGZjOHNnc1QwVGo3N29MYTNqZ0pJR3YwS09kSlZDQ3RMZXRVeDFBV1p5dQ?oc=5,2026-04-13,India
