source,title,link,date,matched_keywords
TechCrunch,SoftBank is creating a robotics company that builds data centers — and already eyeing a $100B IPO,https://techcrunch.com/2026/04/29/softbank-is-creating-a-robotics-company-that-builds-data-centers-and-already-eyeing-a-100b-ipo/,2026-04-30,AI
TechCrunch,"Amazon, Meta join fight to end Google Pay, PhonePe dominance in India",https://techcrunch.com/2026/04/29/amazon-meta-join-fight-to-end-google-pay-phonepe-dominance-in-india/,2026-04-30,India
TechCrunch,Amazon’s cloud business is surging — and so is its capital spending,https://techcrunch.com/2026/04/29/amazons-cloud-business-is-surging-and-so-is-its-capital-spending/,2026-04-30,AI
TechCrunch,Sources: Anthropic could raise a new $50B round at a valuation of $900B,https://techcrunch.com/2026/04/29/sources-anthropic-could-raise-a-new-50b-round-at-a-valuation-of-900b/,2026-04-30,"AI, Valuation"
TechCrunch,"On the stand, Elon Musk can’t escape his own tweets",https://techcrunch.com/2026/04/29/on-the-stand-elon-musk-cant-escape-his-own-tweets/,2026-04-30,AI
TechCrunch,Meta is still burning money on AR/VR,https://techcrunch.com/2026/04/29/meta-is-still-burning-money-on-ar-vr/,2026-04-30,AI
TechCrunch,Satya Nadella says he’s ready to ‘exploit’ the new OpenAI deal,https://techcrunch.com/2026/04/29/satya-nadella-says-hes-ready-to-exploit-the-new-openai-deal/,2026-04-30,AI
TechCrunch,"Microsoft says it has over 20M paid Copilot users, and they really are using it",https://techcrunch.com/2026/04/29/microsoft-says-it-has-over-20m-paid-copilot-users-and-they-really-are-using-it/,2026-04-30,AI
TechCrunch,"Google Cloud surpasses $20B, but says growth was capacity-constrained",https://techcrunch.com/2026/04/29/google-cloud-surpasses-20b-but-says-growth-was-capacity-constrained/,2026-04-30,"AI, RPA"
TechCrunch,"Google gains 25M subscriptions in Q1, driven by YouTube and Google One",https://techcrunch.com/2026/04/29/google-gains-25m-subscriptions-in-q1-driven-by-youtube-and-google-one/,2026-04-30,AI
TechCrunch,Parallel Web Systems hits $2B valuation five months after its last big raise,https://techcrunch.com/2026/04/29/parallel-web-systems-hits-2b-valuation-five-months-after-its-last-big-raise/,2026-04-30,"AI, Valuation"
TechCrunch,Google Photos uses AI to make the iconic closet from ‘Clueless’ a reality,https://techcrunch.com/2026/04/29/google-photos-uses-ai-to-make-the-iconic-closet-from-clueless-a-reality/,2026-04-30,AI
TechCrunch,"Uber is in the hotel business now, thanks in part to AI",https://techcrunch.com/2026/04/29/uber-is-in-the-hotel-business-now-thanks-in-part-to-ai/,2026-04-30,AI
TechCrunch,Earth AI is vertically integrating the search for critical minerals,https://techcrunch.com/2026/04/29/earth-ai-is-vertically-integrating-the-search-for-critical-minerals/,2026-04-30,AI
TechCrunch,"Sri Lanka discloses another missing payment, days after hackers stole $2.5M from its finance ministry",https://techcrunch.com/2026/04/29/sri-lanka-discloses-another-missing-payment-days-after-hackers-stole-2-5m-from-its-finance-ministry/,2026-04-30,Finance
Google News (india),Inside India newsletter: AI is exposing cracks in India’s growth story as it hits high-paying IT jobs - CNBC,https://news.google.com/rss/articles/CBMie0FVX3lxTE5manZRUExDaC1LQ2RZMWRSU1F1SldjN2VscEk3UTRNM2JKOVVCVThwYTB6S0NxdjJRVDNGT3JxV1VzZVF4VnlnaW1KY2JrdUJPbkxhTVZXN1NrODNQeUdablcyN1lJQjFNS0lmM1FvTnNST3oxdzMyT0QyZ9IBgAFBVV95cUxOU254NzlhRkRYLXBFOTJHbFVYNmRVNkpDM3BPQzc3bDdmZkZBNHdRcFZFWWQzanRwR3U5UmJyZnNfMjNWY3RyT2ZFS1BLbW5BRDhRRnNDNVBxcFJMSDdoTm16SDlYdlpOMFo2NHp0US1EN1JZS3N1NXR6b3hZbjZsMg?oc=5,2026-04-30,"AI, India"
Google News (india),Is India’s Chabahar dream in Iran dead? - Al Jazeera,https://news.google.com/rss/articles/CBMiigFBVV95cUxPZUFMSzhfVVlzN252NzR1aFVWWnR1TWlOYzRyZllqUmYwUGp2WDBXYWd2ZVNnZTEyQUNlVTQ2NFdER2ZISkotRENZcFROWTliTTNYYmpjcHN6YzVTWHVlUFBHRVZXdEtHeWJ3WWFENmw3anV4MGI0a05xS1F5WndiMEpmaUUtdnJCUEHSAY8BQVVfeXFMT3YtVmVfa3ZIc3hJNFNFcUNLdUFuc2ZNLUxnb3hadW51SmNVU2wxNUR0NE1sVjBKZFU0b1ZwbGM5TXNXZnc1bEgxQWs3ZEhUcXhvR2JKTWtoQ1VQc1Rwb3QxVmQ2U3F0MlYxenFYRmtDNVRJeUo1X1Y4MWRQMmNENkE1SkN0LVFpRlpKaEhRa1U?oc=5,2026-04-30,"ML, India"
Google News (india),"Uttar Pradesh: In India's 'glass city' Firozabad, the Iran war is threatening jobs - BBC",https://news.google.com/rss/articles/CBMiWkFVX3lxTE4zYldHQTA1WmtWOXVjSE9zZXVZQlFLZ2M3dzRiZ2tLR21UVWNEbWpHbHhycXZGMnRHMUNDOHFiR2FGazBsOGhRX01hM3JGTVQ4bTdoUW5rTnM4Zw?oc=5,2026-04-30,India
Google News (india),India needs to look at its national interests with regard to the Gulf of Hormuz - The Times of India,https://news.google.com/rss/articles/CBMi9gFBVV95cUxQaVpGUXM2d3g0NWFwakZ5YTRENFE0bG54alVQbFFTejVyMVVCTmtVYXEtOU9jQVdHaW1EQmo5SG5rNjd1ZFJXUm9Odlc3QU8yNU5JUWdWY0xONmpMVzNsa3RJeFRjTFptb1dyb1dmVnBlNVBJS3d3bmdvSFZBV0JDR3lBcE55NGNNRTdZdDJpOHBMLWhtM3JHRDVRQXNiNkhObUZfaEdLeUtSZVRDQjNuTE1UbWpSaHBuaFB2YUl0OWVoVFVOcUZGQ0FvNFBpRng0X0lHcUJQaXR5RVlmVEdXclJ2SHZ1aERrcVVVMmsyS3Z3TXM1V2fSAfsBQVVfeXFMTzR5Y29MNEtWWnJxYkw4Q2pBdzdickdtbTFJRF9yYXdJcjBTMXRsdnZRcENicmlXbzkzVEhqMmZaX3VoX21kQjlRdGNaWGRvQ1dodmtGMHpZckhDdjlDV3dYWU1wNDQ3ZFRsMzFoT3RFYkh6NkVFTXpEd0tKRFRlUXJzQWVBc01PVFluY0Z3aTZYSnZkVVg2RWI3YmZUVmdsbERrQzZxUFdfRWh5ai1Qd2IzRjZUY3pNeXB4T1U4akNaSTN1a29VOXJWa3RIVTVDZ3NOZnkta3NzcjNpTjlHQXFHU1NZNjZIZGZ1SHV4aTQwS0o4Q0pPRUhWVTA?oc=5,2026-04-30,"AI, ML, India"
Google News (india),"Vijay To Be Tamil Nadu's Hero, NDA Sweep In Assam: Axis My India Exit Poll - NDTV",https://news.google.com/rss/articles/CBMipwFBVV95cUxNSUVieGtxSW1tb1p2VG84QXcyVktwXzM4OG1HQ285VXhZOHhubGk3ZG8yOFpGYVllakFQZVc3Z3p0TjNhU2hjaXVxU2ppNlowTzgxTy1PNG52YUUzb1ZJUjNuV0FsVlJ2cjIydmFySHYyRjU2ck9OR05CaDc1MkVnWTdZMVRPWEhEOElLZGdnQXVHMHpxd09JTHRqOFNCQTlpOWJ0eHFuWdIBrwFBVV95cUxOODlteVpaSEpDdklFZ0tJcmU4QzMwb0M0Uk5ONjZvZlRETUhkT2UzRFc0TkhqOXNrb1BBSkZ4dzlfOWR3MGZaUGtHWlZOazZ4bWhnck9ScWRIWHdibUhnd3VzT3ZpTmdUT0lWQTNyUkluX0FNdXYzd2MwUzBWLXN6a2h5WGRlczJPdWJFbmttYWttWXVCdklQMV95dml6UnF5Y3RzWFVjZ1ZSSm90NG1Z?oc=5,2026-04-30,"ML, India"
Google News (india),"Exit poll results 2026 for Bengal, Tamil Nadu, Assam, Kerala, Puducherry: Explained in 5 charts - The Times of India",https://news.google.com/rss/articles/CBMi7wFBVV95cUxQZXVZa241NzUtNDJqUUU2S0tBZ1NWYXRwV1ZxeWhOdHMxZEZMVm1NOWs4M1l5eDByM2NIUS1yMkpTTVl5Q0pmUmdkRFBHeFhuVzdfMmhFWHF5SUJBU21CZ0lldTlua250bW9DVEJfY3RJTTVFZWR3Rl8tc0FaSFZHTGliNVdVbGRiSmVib2tXZnB2YV9DdWJ5cGlzaWd0RVBZOUZTcUwzTWotdnIxRUoydm5BN283UDVmd00wTmNkMnpJRVFEczlpUHVhYmJLa29XekdoczdFemxReXVvbGgwTzFmOU1lNGhpWGlBcGtoNNIB9AFBVV95cUxOc3pjSzlKOEpkbUVRN0YxVU43QUpNdlVuNXJiNWI2UlJFdTZFZDI3ZU5tbHB5LXV3b1dJeXAtR0wzV3NMT0R6dXNQckFOZ1ludmo2Z240cWJ4SGd3eTRGNzgxdTRYZDBhTHRNQ3lHM212Yy04MzQtQ0NMbnpPUnIzWlpYeE5hSHByUnhUOUp5N1UzeUI3Y2dQeUFKWGpGUGlEaEZXM2EweklQX0RaRTAzU0lxNW5wajNzaGptYXNmRjRpdXI0TGN1ZjB2UkdxeW5ZcjktMHg1OENNQ0k5Ym9wTGVMVHBiZUFPYVpqbS1qZVNrb29N?oc=5,2026-04-30,"AI, India"
Google News (india),India news: High voter turnout in West Bengal elections - DW.com,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNcXJOQkwzMnNWZ19jd3R4aE96MENudGVRUm9lU01nVFpaTFhzYXVvZ0hOYUtmZl9iM1IzbVhuQmN5X0RfbzZBV3pOSmg1dlU5VWRiR0hYeEx2V0p2TFNoTzQ5NU8wSHNMZ1F2NFRhRHB5ZXh4ZlZfQ1RYWHg4dlFKeUlTS0tRQkktSjcwaUs1dXI2aVNwVXAzeEw4a0I5NGJmMjlzaWl1VDNiaU0?oc=5,2026-04-30,"India, Election"
Google News (india),"Sensex down 1,000 points: Why is the stock market falling today? - India Today",https://news.google.com/rss/articles/CBMi_AFBVV95cUxPUkRDUDBhbDlENWRHT3JLUFVqMmxFTHhMNF94SjVfTmplT3ZycmQ5X3RnZFFhVkVOYzdCOEZJVFJpQUlEdHQzS0VEbnRENU5QYWxFNVJsWTBYRzYzMWxSdGRZNGNZdnhrY1N1ZzMtTXBPbmtvSnJYVkRXV0psY0xRdTRPaHNVWTM0anA5RDBsdE5FSW0tbXhsaW5hSFYtNVk1azF0X1RseE5NcTNBMnVXN1YzU2JOQlo4Z2F4MFdSRXpoXzRrdGVrWUF0bXpPUERaUFNOSFU3ZkliYm0tckxOTW1qZWRVMklfQnJRUGtHZGdSQ3RBUDJGeFR1QnTSAYICQVVfeXFMT1J2ZWYwWUNtMkFtaVJvNzJKNmNPTlJnNzREdjFfZWNFb3Iya3JtWElESEVDdEk4SG0xcGpXZEhpT2czUFE5ZTAyd1dNU2h0RURSa1AxaFBHWldOaW5jZnMyOF94dzQtVTdWTlJIbDRZc1pnZDFUN2FEcnZZNHpUc2N4bVBhaWFzWEpPNThwNUM2SjVrMHVpYXZid1NnTk12VkJmRXliOU55dHFtc1ItOFRKSVRhUEozUWc0dmpFTFpNOGkzcDJoTTVHc00wMHctaTRqeG5LU0V5WGctMlBzV3N2N2d5UVNJVl9sN0FRajFaY0J5eHRfVEZXeUV0SEtTLWlB?oc=5,2026-04-30,"ML, India, RPA"
Google News (india),RBI: India’s central bank steps up fight against digital fraud - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5keDhzNGEweDhzMS1zM1hodTRHTnNiSWJhUUNkblRsN0E1Wmd1aTRWeVZMRmNmVUt1eTNYWGF4bjNNQnI3a2ZhUDRzS2E4U21zSkl1TTNKeDFKUQ?oc=5,2026-04-30,"AI, India"
